website,year,
https://gsa.confex.com/gsa/2018AM/webprogram/allauthors.html,2018,0
https://gsa.confex.com/gsa/2017AM/webprogram/allauthors.html,2017,0
https://gsa.confex.com/gsa/2016AM/webprogram/authora.html,2016,1
https://gsa.confex.com/gsa/2015AM/webprogram/authora.html,2015,1
https://gsa.confex.com/gsa/2014AM/webprogram/authora.html,2014,1
https://gsa.confex.com/gsa/2013AM/webprogram/authora.html,2013,1
https://gsa.confex.com/gsa/2011AM/webprogram/authora.html,2011,1
https://gsa.confex.com/gsa/2010AM/webprogram/authora.html,2010,1
https://gsa.confex.com/gsa/2009AM/webprogram/authora.html,2009,1
https://gsa.confex.com/gsa/2008AM/webprogram/authora.html,2008,1
https://gsa.confex.com/gsa/2007AM/webprogram/authora.html,2007,1
https://gsa.confex.com/gsa/2006AM/webprogram/authora.html,2006,1
https://gsa.confex.com/gsa/2005AM/webprogram/authora.html,2005,1
https://gsa.confex.com/gsa/2004AM/webprogram/authora.html,2004,1
https://gsa.confex.com/gsa/2003AM/webprogram/authora.html,2003,1
https://gsa.confex.com/gsa/2002AM/webprogram/authora.html,2002,1
https://gsa.confex.com/gsa/2001AM/webprogram/authora.html,2001,1